"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"JM_10A",37324,36205,36189,36189,0.030409388061301
"JM_10B",1009,983,981,981,0.0277502477700694
"JM_10C",8141,7804,7796,7796,0.0423780862301929
"JM_1C",2239,2184,2135,2135,0.0464493077266637
"JM_2A",7195,6988,6969,6967,0.0316886726893676
"JM_2B",8582,8384,8352,8352,0.0268002796550921
"JM_3A",10051,9714,9678,9678,0.0371107352502239
"JM_3B",6403,6225,6153,6099,0.0474777448071217
"JM_3C",10221,9998,9856,9852,0.0361021426474905
"JM_4A",16619,16273,16127,15999,0.03730669715386
"JM_4B",17032,16678,16662,16643,0.0228393612024425
"JM_4C",25603,25071,25038,24975,0.0245283755809866
"JM_5A",85353,83082,82818,82547,0.0328752357855026
"JM_5B",101211,100158,100104,100104,0.0109375463141358
"JM_6A",78393,76436,76415,76397,0.025461457017846
"JM_6B",9245,9033,9013,8974,0.0293131422390481
"JM_7A",25909,25564,25550,25511,0.0153614574086225
"JM_7B",23536,22727,22711,22687,0.0360723997280761
"JM_7C",26500,25837,25815,25792,0.0267169811320755
"JM_8A",21624,21175,21165,21096,0.0244173140954495
"JM_8B",6448,6331,6277,6277,0.0265198511166253
"JM_8C",818,797,772,772,0.0562347188264059
"JM_9B",1937,1915,1912,1912,0.0129065565307176
"JM_9C",32,32,31,31,0.03125
"JM_CTL1",1978,1940,1921,1921,0.0288169868554095
"JM_CTL2",3571,3474,3461,3461,0.0308036964435732
