"site_ID","area_km2","Unclassified","Primary road","Tertiary road","Non-road non-energy impervious","Secondary road","LCMAP impervious"
1,227.021002483216,"224.5550109","  0.3969332","  3.2241798","  0.4997749","0","0"
2,230.790597091797,"228.2717487","  0.4375286","  3.2241798","  0.5006771","0","0"
3,240.217031190035,"237.5897546","  0.5160131","  3.2404180","  0.5051877","0","0"
4,264.417028032944,"261.2289284","  0.6071273","  3.6968911","  0.5710425","0","0"
5,270.828559540281,"267.2289339","  0.6937309","  3.8484474","  0.7884536","0","0"
6,273.721535811732,"268.98716739","  0.76860693","  4.05683730","  1.65178321","  0.02345514","0"
7,277.021470992561,"269.8351610","  0.7893557","  4.8028912","  3.3631064","  0.1046460","0"
8,320.729605487207,"3.013580e+02","9.499332e-01","8.551203e+00","1.129545e+01","4.934601e-01","3.608483e-03"
9,323.599330977515,"3.013580e+02","9.499332e-01","9.421750e+00","1.311864e+01","7.036542e-01","8.119087e-03"
10,323.943865455544,"3.013580e+02","9.499332e-01","9.532711e+00","1.336041e+01","7.298157e-01","8.119087e-03"
