"site_ID","area_km2","Open Water","Developed, Open Space","Developed, Low Intensity","Developed, Medium Intensity","Developed, High Intensity","Barren Land","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrub/Scrub","Herbaceous","Hay/Pasture","Woody Wetlands","Emergent Herbaceous Wetlands","Cultivated Crops"
1,227.021002483216,"  0.08119087","  3.38565942","  0.36986953","  0.29138502","  0.07397391","  1.18719099","143.29106587"," 35.50386676","  2.25259567"," 40.08212989","  1.26928399","  0.31393804","  0.48714524","  0.08660360","0"
2,230.790597091797,"  0.08299511","  3.38746366","  0.38249923","  0.31574228","  0.07668027","  1.19350584","143.92976741"," 37.61573159","  2.27965930"," 40.98605495","  1.28101156","  0.32386137","  0.49255796","  0.08660360","0"
3,240.217031190035,"  0.09382056","  3.39468062","  0.40054164","  0.38249923","  0.08389724","  1.21335249","145.22070229"," 41.35772872","  2.36626290"," 43.30630968","  3.11592529","  0.32386137","  0.50518766","  0.08660360","0"
4,264.417028032944,"  0.09472269","  3.86107708","  0.44294132","  0.46369010","  0.10735238","  1.30987942","153.77370973"," 45.96756608","  2.60352067"," 47.08529377","  9.35499284","  0.35182712","  0.58006368","  0.08660360","  0.02074878"
5,270.828559540281,"  0.09472269","  4.04781609","  0.55029370","  0.58367217","  0.14884993","  1.30987942","155.20988607"," 46.11461178","  2.68832003"," 48.67212428"," 11.96031775","  0.38249923","  0.64411426","  0.08660360","  0.06585482"
6,273.721535811732,"  0.09472269","  4.25620600","  0.91655475","  1.05367711","  0.27424473","  1.30987942","155.25679635"," 46.17234751","  2.68832003"," 50.10288790"," 12.00632592","  0.39422680","  0.69553515","  0.10735238","  0.15877326"
7,277.021470992561,"  0.09472269","  4.52503800","  1.95128732","  2.10194150","  0.48173251","  1.30987942","155.26220908"," 46.20482386","  2.68832003"," 50.69467915"," 12.00632592","  0.43301799","  0.81100661","  0.12088419","  0.20929203"
8,320.729605487207,"  0.1010375","  7.3134934","  6.4411426","  6.1488555","  1.3901682","  1.3378452","168.7146347"," 57.9215690","  2.8497997"," 56.4989245"," 12.1217974","  0.4582774","  0.9679756","  0.1299054","  0.2562023"
9,323.599330977515,"  0.1010375","  7.4533222","  7.0915717","  7.4587349","  2.1984684","  1.3378452","168.7146347"," 57.9215690","  2.8497997"," 56.4989245"," 12.1217974","  0.4582774","  0.9679756","  0.1299054","  0.2562023"
10,323.943865455544,"  0.1010375","  7.4948197","  7.2115538","  7.6526909","  2.2219236","  1.3378452","168.7146347"," 57.9215690","  2.8497997"," 56.4989245"," 12.1217974","  0.4582774","  0.9679756","  0.1299054","  0.2562023"
